student_id,Expected status,skills,expected_skills
605,pass,"{'python', 'تصميم واجهات أمامية', 'splunk', 'محلل شبكات', 'بايثون', 'تصميم واجهات خلفية'}","{'تحليل برامج خبيثة, malware analyst', 'virustotal'}"
513,pass,"{'power bi', 'التسويق الإلكتروني', 'تحليل مالي', 'تحليل بيانات', 'تطوير ويب3'}","{'data analyst', 'tableau', 'dashboards'}"
112,pass,"{'اليستريتور', 'محاسب', 'photoshop', 'illustrator', 'فوتوشوب', 'مصمم شعارات'}",set()
396,pass,"{'figma', 'فوتوشوب', 'zeplin', 'photoshop'}","{'sketch', 'invision'}"
209,pass,"{'تطوير تطبيقات الجوال', 'تطوير الويب', 'جافا', 'تصميم واجهات المستخدم', 'تحليل بيانات'}","{'تعلم الآلة', 'تطوير الذكاء الاصطناعي'}"
718,pass,"{'التسويق الرقمي', 'محلل بيانات', 'تحسين محركات البحث', 'تحليل استراتيجيات التسويق', 'تطوير المحتوى'}","{'جوجل ادوردز', 'تسويق وسائل التواصل الاجتماعي', 'تحليل البيانات الكبيرة'}"
427,pass,"{'تصميم واجهات المستخدم', 'تطوير الويب', 'html', 'css', 'جافاسكريبت'}","{'تصميم تجربة المستخدم', 'تطوير تطبيقات الموبايل', 'react native'}"
815,pass,"{'تحليل البيانات', 'python', 'الذكاء الاصطناعي', 'التعلم العميق', 'تحليل البيانات الكبيرة'}","{'تطوير نماذج التعلم الآلي', 'tensorflow', 'تصنيف الصور'}"
341,pass,"{'تصميم الجرافيك', 'التصوير الفوتوغرافي', 'adobe photoshop', 'adobe illustrator', 'تجهيز الصور'}","{'adobe after effects', 'تصميم الموشن جرافيك'}"
912,pass,"{'تصميم واجهات المستخدم', 'تطوير الويب', 'html', 'css', 'جافاسكريبت'}","{'تصميم تجربة المستخدم', 'تطوير تطبيقات الموبايل', 'react native'}"
823,pass,"{'تحليل البيانات', 'python', 'الذكاء الاصطناعي', 'التعلم العميق', 'تحليل البيانات الكبيرة'}","{'تطوير نماذج التعلم الآلي', 'tensorflow', 'تصنيف الصور'}"
539,pass,"{'تصميم الجرافيك', 'التصوير الفوتوغرافي', 'adobe photoshop', 'adobe illustrator', 'تجهيز الصور'}","{'adobe after effects', 'تصميم الموشن جرافيك'}"
309,pass,"{'تصميم واجهات أمامية', 'تطوير الويب', 'html', 'css', 'جافاسكريبت'}","{'تصميم تجربة المستخدم', 'تطوير تطبيقات الموبايل', 'react native'}"
718,pass,"{'التسويق الرقمي', 'محلل بيانات', 'تحسين محركات البحث', 'تحليل استراتيجيات التسويق', 'تطوير المحتوى'}","{'جوجل ادوردز', 'تسويق وسائل التواصل الاجتماعي', 'تحليل البيانات الكبيرة'}"
817,pass,"{'تحليل البيانات', 'python', 'الذكاء الاصطناعي', 'التعلم العميق', 'تحليل البيانات الكبيرة'}","{'تطوير نماذج التعلم الآلي', 'tensorflow', 'تصنيف الصور'}"
125,pass,"{'تصميم الجرافيك', 'التصوير الفوتوغرافي', 'adobe photoshop', 'adobe illustrator', 'تجهيز الصور'}","{'adobe after effects', 'ui8', 'figmacrush', 'تصميم الموشن جرافيك'}"
435,pass,"{'تطوير الويب', 'html', 'css', 'جافاسكريبت', 'تصميم واجهات المستخدم'}","{'تصميم تجربة المستخدم', 'تطوير تطبيقات الموبايل', 'react native'}"
712,pass,"{'تحليل البيانات', 'python', 'الذكاء الاصطناعي', 'التعلم العميق', 'تحليل البيانات الكبيرة'}","{'تطوير نماذج التعلم الآلي', 'tensorflow', 'تصنيف الصور'}"
219,pass,"{'تصميم الجرافيك', 'التصوير الفوتوغرافي', 'adobe photoshop', 'adobe illustrator', 'تجهيز الصور'}","{'adobe after effects', 'تصميم الموشن جرافيك'}"
405,pass,"{'تصميم واجهات أمامية', 'تطوير الويب', 'html', 'css', 'جافاسكريبت'}","{'تصميم تجربة المستخدم', 'تطوير تطبيقات الموبايل', 'react native'}"
619,pass,"{'تحليل البيانات', 'python', 'الذكاء الاصطناعي', 'التعلم العميق', 'تحليل البيانات الكبيرة'}","{'تطوير نماذج التعلم الآلي', 'tensorflow', 'تصنيف الصور'}"
741,pass,"{'تصميم الجرافيك', 'التصوير الفوتوغرافي', 'adobe photoshop', 'adobe illustrator', 'تجهيز الصور'}","{'adobe after effects', 'تصميم الموشن جرافيك'}"
214,pass,"{'تطوير تطبيقات الجوال', 'تطوير الويب', 'جافا', 'تصميم واجهات المستخدم', 'تحليل بيانات'}","{'تعلم الآلة', 'تطوير الذكاء الاصطناعي'}"
